"Address","CleanName","Area","Reason","SourcePath","CopiedTo","Exists"
"01267ef0","EnchantOptionResultShared_01267ef0","EnchantOptionResultUI","Result popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01267ef0_FUN_01267ef0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionResultUI\EnchantOptionResultShared_01267ef0.01267ef0.original.c","True"
"01371450","EnchantOptionShared_01371450","EnchantOptionUI","Option popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01371450_FUN_01371450.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionUI\EnchantOptionShared_01371450.01371450.original.c","True"
"013715f0","EnchantOptionShared_013715f0","EnchantOptionUI","Option popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\013715f0_FUN_013715f0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionUI\EnchantOptionShared_013715f0.013715f0.original.c","True"
"01371690","EnchantOptionShared_01371690","EnchantOptionUI","Option popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01371690_FUN_01371690.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionUI\EnchantOptionShared_01371690.01371690.original.c","True"
"01371760","EnchantOptionShared_01371760","EnchantOptionUI","Option popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01371760_FUN_01371760.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionUI\EnchantOptionShared_01371760.01371760.original.c","True"
"01371910","EnchantOptionShared_01371910","EnchantOptionUI","Option popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01371910_FUN_01371910.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionUI\EnchantOptionShared_01371910.01371910.original.c","True"
"01371a00","EnchantOptionShared_01371a00","EnchantOptionUI","Option popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01371a00_FUN_01371a00.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionUI\EnchantOptionShared_01371a00.01371a00.original.c","True"
"01371ba0","EnchantOptionShared_01371ba0","EnchantOptionUI","Option popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01371ba0_FUN_01371ba0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionUI\EnchantOptionShared_01371ba0.01371ba0.original.c","True"
"01371da0","EnchantOptionShared_01371da0","EnchantOptionUI","Option popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01371da0_FUN_01371da0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionUI\EnchantOptionShared_01371da0.01371da0.original.c","True"
"01371e40","InitializeEnchantOptionWindow","EnchantOptionUI","Binds seven option popup slots","C:\0-NewDmo\unpacked_exe_all\functions\01371e40_FUN_01371e40.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionUI\InitializeEnchantOptionWindow.01371e40.original.c","True"
"01371fa0","EnchantOptionShared_01371fa0","EnchantOptionUI","Option popup class cluster","C:\0-NewDmo\unpacked_exe_all\functions\01371fa0_FUN_01371fa0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\EnchantOptionUI\EnchantOptionShared_01371fa0.01371fa0.original.c","True"
"0161e740","DigimonAdvanceTableLookup_0161e740","DigimonAdvanceTables","Lookup used by enchant validation flow","C:\0-NewDmo\unpacked_exe_all\functions\0161e740_FUN_0161e740.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigimonAdvanceTables\DigimonAdvanceTableLookup_0161e740.0161e740.original.c","True"
"0161e970","RegisterDigimonAdvanceTables","DigimonAdvanceTables","Loads EvoDigitama EnchantItemInfo EnchantStatInfo TranscendNeed TranscendMaterial TranscendCorrect TranscendCorrectEx","C:\0-NewDmo\unpacked_exe_all\functions\0161e970_FUN_0161e970.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigimonAdvanceTables\RegisterDigimonAdvanceTables.0161e970.original.c","True"
"0161ed10","RegisterDigimonAdvanceTableEvents","DigimonAdvanceTables","Table event registration called by loader","C:\0-NewDmo\unpacked_exe_all\functions\0161ed10_FUN_0161ed10.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigimonAdvanceTables\RegisterDigimonAdvanceTableEvents.0161ed10.original.c","True"
"0161f0b0","ParseEnchantItemInfoTableCallback","DigimonAdvanceTables","Parser callback for EnchantItemInfo.bin","C:\0-NewDmo\unpacked_exe_all\functions\0161f0b0_FUN_0161f0b0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigimonAdvanceTables\ParseEnchantItemInfoTableCallback.0161f0b0.original.c","True"
"0161f0d0","ParseEnchantStatInfoTableCallback","DigimonAdvanceTables","Parser callback for EnchantStatInfo.bin","C:\0-NewDmo\unpacked_exe_all\functions\0161f0d0_FUN_0161f0d0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigimonAdvanceTables\ParseEnchantStatInfoTableCallback.0161f0d0.original.c","True"
"0161f0f0","ParseEvoDigitamaTableCallback","DigimonAdvanceTables","Parser callback for EvoDigitama.bin","C:\0-NewDmo\unpacked_exe_all\functions\0161f0f0_FUN_0161f0f0.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigimonAdvanceTables\ParseEvoDigitamaTableCallback.0161f0f0.original.c","True"
"0161f110","ParseTranscendCorrectTableCallback","DigimonAdvanceTables","Parser callback for TranscendCorrect.bin","C:\0-NewDmo\unpacked_exe_all\functions\0161f110_FUN_0161f110.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigimonAdvanceTables\ParseTranscendCorrectTableCallback.0161f110.original.c","True"
"0161f130","ParseTranscendCorrectExTableCallback","DigimonAdvanceTables","Parser callback for TranscendCorrectEx.bin","C:\0-NewDmo\unpacked_exe_all\functions\0161f130_FUN_0161f130.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigimonAdvanceTables\ParseTranscendCorrectExTableCallback.0161f130.original.c","True"
"0161f150","ParseTranscendMaterialTableCallback","DigimonAdvanceTables","Parser callback for TranscendMaterial.bin","C:\0-NewDmo\unpacked_exe_all\functions\0161f150_FUN_0161f150.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigimonAdvanceTables\ParseTranscendMaterialTableCallback.0161f150.original.c","True"
"0161f170","ParseTranscendNeedTableCallback","DigimonAdvanceTables","Parser callback for TranscendNeed.bin","C:\0-NewDmo\unpacked_exe_all\functions\0161f170_FUN_0161f170.c","C:\0-NewDmo\DigimonAdvanceFeature\decompiled\DigimonAdvanceTables\ParseTranscendNeedTableCallback.0161f170.original.c","True"
